"name","Andorra","Australia","Austria","Belgium","Bulgaria","Canada","China","Croatia","Cyprus","Czech Republic","Denmark","Estonia","Finland","France","Georgia","Germany","Gibraltar","Greece","Hong Kong","Hungary","Iceland","India","Ireland","Israel","Italy","Latvia","Liechtenstein","Lithuania","Luxembourg","Malta","Monaco","Netherlands","New Zealand","Norway","Poland","Portugal","Romania","San Marino","Singapore","Slovakia","Slovenia","South Africa","Spain","Sweden","Switzerland","Turkey","United Kingdom of Great Britain and Northern Ireland","United States of America"
"Martinique",,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4
"Mauritius",,,,,,,,,,,,,,1,,,,,,,,4,,,,,,,,,,1,,,,,,,,,,,,,,,3,
"Mayotte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Mexico",,3,3,4,,3,,1,,2,2,2,3,4,,13,,,,,,17,2,,5,,,,,,,4,,,,2,1,,1,,,,22,1,,,27,20
"Micronesia, Federated States of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"Moldova, Republic of",,,,,,,,,,,,1,,1,,1,,1,,1,,,,,,1,,1,,,,,,,,,1,,,,,,2,1,1,,3,1
"Monaco",,2,,,1,1,,,,,,,,4,,,,,1,,,1,,,,,,,,,12,,,,2,,,,,,,,1,1,1,,23,5
"Mongolia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Montenegro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1
"Morocco",,1,,,,,,,,,,,,1,,2,,,1,,,,,,1,,,,,,,,,1,1,,,,,,,,1,,,,13,5
"Namibia",,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1
"Nepal",,1,,,,,,,,,1,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,4
"Netherlands",,167,2,,18,63,2,,1,20,24,1,,7,6,16,,1,18,99,1,3118,3,,4,1,,,,,,1160,89,19,78,2,20,,37,3,2,17,9,36,28,84,2082,894
